word,freq
sa,101333
ug,55973
ang,42630
nga,42502
mga,34734
ka,13423
iyang,11854
si,10513
ni,10254
siya,9203
usa,7500
jehova,6870
sila,6752
imong,6073
ako,5778
anak,5747
akong,5601
kay,5521
ilang,5380
kang,5222
kaniya,5191
dili,4758
kini,4689
gikan,4480
dios,4405
mao,4162
ko,3956
ngadto,3867
kamo,3770
diha,3753
tawo,3729
kanila,3647
niini,3480
apan,3423
alang,3278
miingon,3253
wala,3193
lalake,3134
aron,3128
kanako,3013
yuta,2949
kanimo,2949
na,2827
hari,2827
ikaw,2826
tungod,2676
bisan,2661
niya,2648
ingon,2641
tanan,2580
israel,2557
uban,2541
karon,2493
walay,2335
man,2315
pa,2294
inyong,2266
tanang,2227
didto,2223
mo,2135
balay,2083
adlaw,2062
katawohan,1907
may,1887
kaninyo,1880
usab,1868
ba,1866
unya,1842
ibabaw,1790
kamot,1745
busa,1649
batok,1613
atubangan,1593
amahan,1591
niining,1589
pinaagi,1537
ninyo,1484
kong,1454
nila,1441
babaye,1406
ania,1373
niana,1367
nagaingon,1328
gayud,1295
pulong,1188
dapit,1164
kaugalingon,1156
oh,1096
sumala,1090
maoy,1073
tibook,1060
david,1060
niadtong,1047
kami,1045
butang,1038
kinsa,1038
hangtud,1036
panon,1022
anaa,1021
ngalan,991
taliwala,979
sulod,975
kasingkasing,947
jesus,943
sacerdote,923
unsa,876
ciudad,872
ginoo,870
kining,855
moises,847
juda,840
tuig,828
kon,826
jerusalem,806
ayaw,804
among,777
sama,766
dautan,757
mahitungod,750
mata,746
lamang,745
igsoon,742
kun,727
kadtong,690
adlawa,688
tagsatagsa,687
dalan,673
kita,665
atong,656
carnero,637
maayo,626
mitubag,613
egipto,608
espiritu,606
tubig,604
langit,603
gatus,598
nasud,595
panahon,591
adunay,581
buhat,575
gibuhat,571
katapusan,571
duha,562
unta,559
bahin,557
balaan,549
tingog,547
nakita,543
diin,542
kalayo,531
giingon,518
miadto,517
kondili,512
duruha,511
kanamo,506
nag-ingon,504
gawas,502
matarung,501
o,499
kinabuhi,497
bato,495
dakung,494
libo,492
mahimong,487
vaca,487
kana,484
kalag,479
nan,479
bulawan,472
gihatag,470
nahitabo,452
gidala,451
pito,451
maingon,448
sala,447
napulo,447
gihimo,446
salapi,446
maong,444
tinapay,442
dugo,438
halaran,433
ulo,430
asawa,429
baba,428
nawong,423
kinahanglan,420
kasugoan,420
kanato,418
sulogoon,418
ginoong,416
maayong,413
dinhi,406
principe,404
saul,403
pag-usab,401
oo,399
cristo,398
alagad,397
bukid,395
gingharian,395
kaugalingong,394
sugo,390
kahoy,387
lima,387
tawong,386
ganghaan,385
sukad,384
panimalay,381
ra,374
ulipon,373
jacob,371
upat,368
bulan,368
labing,367
halad,367
tan-awa,365
kaaway,364
gikuha,358
aaron,352
gisugo,350
pangulo,349
kamingawan,347
iya,345
magaingon,344
dagat,343
manalagna,342
banay,340
mananap,336
unod,336
totolo,333
pultahan,333
ilalum,331
buhi,331
lawas,327
butanga,325
naghimo,324
tiil,319
kaliwatan,318
himaya,318
balong-balong,317
inahan,316
kadautan,316
pagabuhaton,316
daghan,315
pagkamatarung,312
bisti,307
salomon,303
tapus,302
nanag-ingon,301
gibutang,299
silang,299
pagbuhat,296
miabut,296
bata,296
daku,294
babilonia,293
samtang,292
kamatayon,292
dihay,290
hinoon,287
levihanon,287
judio,286
mahimo,285
kaluhaan,284
halad-nga-sinunog,283
magbalantay,282
puloy-anan,282
niyang,279
makakita,279
faraon,279
filistehanon,279
daghang,278
mamatay,277
misulti,276
kalibutan,276
espada,272
laing,269
labut,267
kalipay,266
pagkatinuod,266
tinun-an,266
unsay,265
abraham,264
gubat,263
utlanan,261
paingon,258
maniko,255
lungsod,254
nagbuhat,252
panulondon,251
jose,245
gahum,245
hilabihan,241
labi,240
katilingban,237
pagtoo,237
labaw,235
ngano,235
nakakita,234
kaayo,233
kuta,233
moabut,232
punoan,231
tugon,231
bahandi,228
unom,227
josue,227
kapatagan,226
nanganak,226
sanglit,226
