word,freq
sa,63730
at,51662
ng,49738
ang,42024
na,37222
mga,32220
ay,22507
y,15738
kaniyang,11231
ni,9628
panginoon,7565
si,6944
siya,6941
aking,6820
iyong,6677
hindi,5908
anak,5751
kanilang,5148
sapagkat,4913
sila,4878
ako,4710
dios,4644
isang,4361
lahat,4241
mo,4201
niya,4054
ito,3953
upang,3647
sinabi,3593
kaniya,3553
nang,3542
ko,3510
kay,3255
kayo,3053
kung,2954
bayan,2926
may,2841
inyong,2830
hari,2664
israel,2574
akin,2521
ka,2517
kanila,2441
iyo,2383
araw,2253
walang,2076
mula,2059
tao,1972
nga,1941
ninyo,1903
huwag,1896
nila,1891
ngunit,1866
lalake,1809
bagay,1739
buong,1717
inyo,1717
kamay,1714
lupain,1713
ikaw,1713
man,1710
gaya,1680
o,1665
bahay,1615
dahil,1541
nasa,1526
hanggang,1446
gayon,1441
laban,1429
narito,1394
lupa,1392
ayon,1392
yaon,1384
harap,1337
siyang,1172
bawat,1162
sinasabi,1153
babae,1148
isa,1118
oh,1115
niyaon,1107
salita,1102
datapuwat,1090
kapatid,1074
magiging,1071
david,1062
dalawang,1047
pamamagitan,1033
ama,1030
baga,1026
magkagayo,997
kundi,993
kasama,981
sabi,974
parang,973
naman,971
pangalan,959
ginawa,935
saserdote,913
tungkol,907
puso,869
pa,865
moises,851
kami,843
gitna,839
aming,830
juda,827
dakong,820
handog,817
jerusalem,809
buhay,806
mong,801
jesus,777
kayong,765
taon,760
kasamaan,758
daan,749
dako,741
ganito,728
kayat,718
pagka,711
lingkod,705
langit,698
doon,694
naging,693
tubig,688
sangbahayan,682
ngayon,676
din,671
maging,669
egipto,660
banal,650
ano,648
taga,646
dumating,642
taong,619
ating,610
tayo,610
gawa,608
magulang,607
ninyong,598
mata,595
nangyari,581
hukbo,578
ibang,576
asawa,574
bansa,569
ba,568
ibinigay,562
silang,559
tatlong,558
bundok,540
ibabaw,531
matuwid,530
anomang,529
apat,528
apoy,528
espiritu,526
nagsabi,514
kasalanan,512
masama,501
mabuti,496
gayo,495
niyang,494
sariling,493
loob,493
tinig,492
pitong,488
panginoong,481
rin,473
gumawa,473
lamang,468
bayang,468
wala,466
kang,465
pung,464
nakita,461
tabak,454
propeta,454
bahagi,453
ginto,450
kautusan,449
ma,447
panahon,445
baka,445
malaking,443
ilang,443
oo,442
di,441
tinapay,435
yaong,435
nagsasabi,432
sarili,431
makatuwid,431
bato,428
sinalita,427
dagat,426
limang,425
gagawin,424
roon,423
ulo,423
bakit,422
dugo,419
kaaway,417
kaluluwa,416
hayop,414
amin,412
dito,411
magpakailan,409
bibig,409
puno,408
dambana,408
lalaking,405
sabihin,402
saul,402
kaarawan,397
iba,395
cristo,395
nawa,394
kaharian,391
akong,386
maraming,386
dinala,382
jacob,382
kahoy,381
sumagot,380
pagkatapos,378
laman,376
naparoon,371
yumaon,367
nalalaman,367
palibot,366
namin,364
buwan,359
susunugin,359
kapisanan,354
put,353
paanong,351
atin,347
aaron,345
mukha,344
gawin,342
angkan,341
katuwiran,340
paa,339
nangasa,338
utos,337
lipi,337
iniutos,336
tunay,336
kapangyarihan,330
pati,329
kaluwalhatian,327
inilagay,326
sinomang,322
kita,322
pilak,321
prinsipe,319
mainam,318
paningin,317
lumabas,316
ibibigay,313
ina,309
kahatulan,309
lalong,307
lakad,307
tabernakulo,307
kong,301
mangyayari,301
salomon,300
saan,297
tupa,297
kapayapaan,297
babilonia,297
anim,296
tinawag,295
langis,295
levita,293
makita,291
nagsalita,291
unang,290
pumasok,290
anong,289
punong,285
anghel,285
ngang,285
una,284
sasabihin,284
kaya,283
sinoman,282
karamihan,281
judio,281
filisteo,280
sino,280
libo,280
nilang,278
galit,278
kinuha,275
bukod,272
katotohanan,272
alagad,271
patay,270
dakilang,270
faraon,269
hangganan,266
ukol,264
pananampalataya,264
kapuwa,263
ilalim,262
lupaing,261
ngayo,255
jose,253
abraham,251
samantalang,250
tapat,249
pangulo,249
gabi,246
siko,246
kabuluhan,246
para,246
alak,245
malakas,245
pintuan,244
bunga,243
harapan,242
lahi,242
totoong,241
pinatay,240
nagsugo,240
pinuno,239
kawan,238
pagkain,236
namatay,236
ginagawa,235
tipan,233
magkakaroon,233
bata,232
sanglibutan,232
nito,231
