word,freq
pa,22
buhi,18
agi,16
daug,15
abut,14
bata,14
alang-alang,13
bati,13
batu,13
bula,13
butu,13
gula,13
lutu,13
na,13
sakup,13
sulud,13
dala,12
bali,11
balukbuk,11
buang,11
buluk,11
dama,11
patay,11
uban,11
bala,10
balu,10
bayat,10
bitay,10
buhat,10
ingun,10
labu,10
lata,10
lubut,10
nawung,10
punu,10
saka,10
tali,10
tama,10
tawu,10
tubu,10
tungud,10
u,10
abanti,9
angay,9
apas,9
ba,9
babuy,9
baga,9
balitang,9
bangil,9
bara,9
basa,9
brik,9
bugnaw,9
bumba,9
dalagan,9
daut,9
dayun,9
dipusitu,9
dulut,9
gaan,9
halin,9
lagas,9
lukub,9
nga,9
paku,9
parti,9
pasar,9
pisu,9
sakay,9
sakit,9
saku,9
sirbi,9
tabla,9
tarung,9
tukud,9
tunga,9
tuud,9
abud,8
adlaw,8
agpas,8
ariglar,8
bakbak,8
balud,8
bangun,8
barug,8
batul,8
baug,8
bikil,8
bitaw,8
bubu,8
bunut,8
buti,8
butuk,8
das-ag,8
gawas,8
habul,8
igu,8
labaw,8
lakat,8
lala,8
lalum,8
lawas,8
ligas,8
linti,8
lukat,8
lupad,8
ngilngig,8
pabur,8
pakaw,8
panit,8
para,8
pasu,8
pilu,8
salu,8
siguru,8
sira,8
subay,8
sukul,8
talu,8
tanud,8
tiktik,8
tuyu,8
abat,7
abli,7
aktu,7
alipunga,7
alistu,7
andir,7
apiki,7
ariya,7
bag-u,7
bahin,7
bahu,7
bakgrawun,7
bartiha,7
basi,7
batun,7
bihag,7
bikang,7
binta,7
bugtaw,7
bulad,7
bundak,7
bun-ug,7
burus,7
buut,7
dipirinsiya,7
dugtung,7
dukut,7
dula,7
dulun,7
duul,7
gala,7
gikan,7
hagu,7
haguka,7
i,7
ila,7
ilu,7
isa,7
karas,7
kita,7
labay,7
lami,7
lawus,7
linya,7
luag,7
lubag,7
lubu,7
lubus,7
lugaraha,7
lugi,7
luku,7
lumat,7
mahal,7
mata,7
mirun,7
pake,7
pala,7
palung,7
palus,7
pana,7
panahun,7
pasta,7
pikas,7
pildi,7
plat,7
puyu,7
pwirsa,7
ra,7
sakripisyu,7
sangga,7
sapaw,7
silung,7
sulti,7
sulung,7
sungag,7
tabang,7
tagaw,7
tahud,7
tala,7
taniag,7
tata,7
tumung,7
tupus,7
tuun,7
ubus,7
abang,6
abay,6
abug,6
agut,6
alkansi,6
ambihas,6
ambuy,6
antug,6
arti,6
asa,6
atras,6
atrasu,6
atub,6
ayu,6
bagay,6
baknal,6
bakus,6
bakya,6
balabag,6
balaw,6
balik,6
baling,6
baliw,6
balsa,6
balun,6
banata,6
banga,6
bangug,6
bantay,6
ban-uk,6
barumbadu,6
basul,6
batabata,6
baul,6
baya,6
bikug,6
bilin,6
bintang,6
bira,6
birdi,6
bisiklita,6
biti,6
budbud,6
budlay,6
bug-us,6
bulakbulak,6
bulalu,6
buling,6
bulug,6
bungul,6
burul,6
butbut,6
dabuk,6
dagil,6
dakdak,6
dali,6
dapat,6
dawat,6
dipinsa,6
distsards,6
dulum,6
dungug,6
dusu,6
duut,6
gangut,6
gim-ut,6
ginhawa,6
gira,6
grabi,6
gradu,6
grap,6
gubut,6
gugul,6
gulang,6
guyam-ut,6
hagad,6
hait,6
halang,6
halu,6
halung,6
hangin,6
hasuk,6
ihi,6
impati,6
init,6
intra,6
kubad,6
kulu,6
laba,6
labud,6
lain,6
lamdag,6
lasu,6
latid,6
laug,6
lawgaw,6
laylay,6
libri,6
lihiru,6
lihuk,6
limpiyu,6
limut,6
lingig,6
lipak,6
lisud,6
lituk,6
lugar,6
lugway,6
lulu,6
lungdistans,6
lutaw,6
luwas,6
magnit,6
malu,6
manbad,6
nunut,6
nuta,6
padrun,6
paminaw,6
papa,6
paris,6
pigadu,6
pig-ut,6
pik-ap,6
praktis,6
pungut,6
putul,6
rawun,6
ribyu,6
saba,6
sabak,6
sabud,6
sala,6
sintidu,6
siru,6
subra,6
sugal,6
tabug,6
tagak,6
tagu,6
tagud,6
taguk,6
tahan,6
tambuk,6
tampa,6
tanda,6
tapuk,6
taput,6
tarurut,6
taudtaud,6
tawhay,6
tayim,6
timaan,6
timpu,6
titi,6
trapu,6
trukis,6
tsik,6
tubtub,6
tuktuk,6
tulin,6
tulu,6
tulug,6
tuna,6
tunu,6
tunub,6
tunug,6
tunung,6
tupung,6
uli,6
unay,6
wagwag,6
abtik,5
abunu,5
adtu,5
agut-ut,5
ahat,5
alagad,5
alsa,5
alut,5
anad,5
anay,5
andu,5
angkub,5
anihag,5
anis,5
apung,5
arunsa,5
asin,5
asu,5
ataki,5
atay,5
atik,5
ay,5
ayad,5
baang,5
baba,5
babad,5
badbad,5
badlis,5
bagal,5
bagsak,5
bagul,5
bagus,5
bahaw,5
bakanti,5
balakbak,5
balansi,5
balita,5
balus,5
banbanun,5
banda,5
bangga,5
bangka,5
bangku,5
bantulinaw,5
banus,5
baratu,5
barut,5
basag,5
basiyu,5
bastid,5
batang,5
batir,5
batubatu,5
batuk,5
bawi,5
bayang,5
bayaw,5
bayhun,5
bida,5
bigut,5
bili,5
bilya,5
bisan,5
bitik,5
bituun,5
biya,5
blakdyak,5
bluki,5
buak,5
budiga,5
bugi,5
bugkus,5
bugnu,5
bugsu,5
bugu,5
bugway,5
buka,5
bukad,5
bukal,5
bukway,5
bulabula,5
bulak,5
bulit,5
bulsa,5
bulu,5
bulung,5
bulwang,5
bunal,5
bungi,5
bungkul,5
buntag,5
bunul,5
buruka,5
bus,5
busug,5
butang,5
buyag,5
dabung,5
dagpak,5
dagpi,5
dahug,5
dalu,5
dangan,5
dapaw,5
dapit,5
dapu,5
dasmag,5
dasuk,5
diay,5
dihadu,5
diin,5
dipalita,5
dirami,5
diriksiyun,5
dirikta,5
dughu,5
dugmun,5
duhaduha,5
dunut,5
dusdus,5
dutdut,5
gabas,5
gastu,5
gatung,5
gayud,5
gay-ut,5
gingi,5
ginta,5
gip-ut,5
giringgiring,5
grin,5
gulut,5
hadla,5
hagpat,5
hagud,5
hala,5
halhal,5
halub,5
hapun,5
hari,5
haslu,5
hatud,5
hawa,5
hawid,5
hayag,5
hayahay,5
ihaw,5
ilis,5
imbahada,5
iskuyla,5
islag,5
istambay,5
istrit,5
isturya,5
kapkap,5
kasa,5
kaskas,5
kuku,5
kulang,5
kulung,5
kurti,5
labhag,5
lag-ab,5
lakad,5
laktud,5
lamuk,5
landung,5
langas,5
lanut,5
lapak,5
lapus,5
larut,5
layag,5
layaw,5
layug,5
libug,5
libun,5
liga,5
ligid,5
limbu,5
limus,5
linaw,5
linga,5
liput,5
liskug,5
listun,5
litsi,5
lius,5
liwat,5
lubug,5
lugit,5
luka,5
lukut,5
luta,5
luwa,5
lyamar,5
malisya,5
mantala,5
maut,5
minur,5
minus,5
nada,5
nganga,5
ngilit,5
nipis,5
numri,5
nyus,5
paga,5
pagu,5
pahut,5
pait,5
paka,5
palapala,5
palid,5
palit,5
paliyu,5
palut,5
panday,5
partida,5
pasa,5
pasakayli,5
paskin,5
paspas,5
patas,5
patik,5
pig-it,5
piit,5
pisti,5
piting,5
pug-uk,5
pulug,5
pulung,5
puntu,5
purmal,5
pute,5
rimatsi,5
ripitir,5
sabad,5
sabaw,5
sagad,5
sahi,5
sakat,5
salida,5
samuk,5
sangkad,5
sapi,5
sigu,5
siku,5
sikwati,5
simintu,5
sinyura,5
siut,5
subang,5
subu,5
sugu,5
sugut,5
sukud,5
sulaw,5
sulay,5
sulug,5
sunud,5
suput,5
taas,5
tabas,5
tagay,5
tahas,5
takaba,5
taktak,5
takus,5
talay,5
taluktuk,5
tam-ak,5
tami,5
tan-aw,5
tandug,5
tanga,5
tangka,5
tapa,5
tapal,5
tapi,5
tapun,5
tapus,5
targit,5
tarug,5
tawid,5
taya,5
tayming,5
tiaw,5
tibi,5
tibuuk,5
tigni,5
tika,5
tikup,5
tima,5
timbang,5
timpla,5
tin-aw,5
tingug,5
tipak,5
tira,5
trabisiya,5
tuba,5
tubig,5
tudlu,5
tuga,5
tugbang,5
tugnaw,5
tuhug,5
tukma,5
tukuy,5
tula,5
tuman,5
tuwang,5
ubu,5
ukyab,5
wangsi,5
witing,5
yabag,5
abir,4
abirids,4
abrap,4
abunda,4
abung,4
abyirtu,4
ada,4
adbans,4
agap,4
agit-it,4
agub-ub,4
ahaw,4
al-al,4
alarma,4
alat,4
alayun,4
alingasa,4
aliputu,4
alkuba,4
alum-um,4
alundris,4
alung,4
alyadu,4
ambi,4
ambungan,4
amgid,4
ampu,4
anaa,4
anagu,4
ang,4
angkun,4
angut,4
anhi,4
antimanu,4
apay,4
aprubadu,4
apug,4
arang,4
ari,4
ariba,4
arigladu,4
arku,4
atang,4
atay-atay,4
atsal,4
atsay,4
atumatik,4
atup,4
awturidad,4
awut,4
ayis,4
ayri,4
badlipanis,4
bagamundu,4
bagnut,4
bagu,4
baha,4
bahad,4
bahada,4
bahugbahug,4
baka,4
baksiwa,4
bakul,4
balag-ung,4
balandra,4
balanus,4
balatik,4
balaud,4
balay,4
balbas,4
balibad,4
baligtus,4
balikbalik,4
